Modèle,Précicion,Rappel,Score F1,Score F3,Score F5,Aire sous la courbe ROC,Durée d'apprentissage,Durée de prédiction
Forêt aléatoires,0.1591549295774648,0.7319838056680162,0.2614605929139552,0.5382554331646324,0.6429763370263987,0.7489946019494466,115.16224408149719,0.642655611038208
XGBoost,0.14698282630729917,0.7578947368421053,0.24621565392065428,0.5353744397183773,0.6534366349829377,0.7458778595175349,13.909575939178467,0.05884885787963867
Régression logistique,0.13967294594097074,0.6702245123297755,0.23117057875160268,0.48572175425306613,0.5847885319888442,0.7102158113364108,2.8817803859710693,0.011862993240356445
