f1,f3,f5,recall,negative predictive value,precision,roc_auc,data_frac,training_time,prediction_time,model_name
0.21275699054830793,0.43951061699759963,0.5351803765774205,0.6248338180748153,0.9701669383972743,0.1319098194059797,0.7444722823137658,0.0005011872336272724,0.006397724868659686,0.011340294027687015,Régression logistique
0.21661416135632394,0.4514303273634438,0.548657832652799,0.637857485584132,0.971209490016893,0.13293924726870998,0.7524080374773137,0.000747625680163769,0.014801165196283949,0.013579725416721295,Régression logistique
0.21935530683604026,0.4609048095854016,0.5594007329053389,0.6480785661706714,0.9720223866844765,0.13357693270411325,0.75865362588277,0.0011152402139117906,0.016708155029586384,0.013944466997470175,Régression logistique
0.22233431065783085,0.46790150072641074,0.5667203895650302,0.6545744823527466,0.9726111176699025,0.13491481579115955,0.7634572406451764,0.0016636142493842226,0.01876639129714839,0.013638071926580293,Régression logistique
0.22499621570434022,0.4735326363405877,0.5724603532831616,0.6594940278365258,0.9730782077374762,0.13629213329332512,0.7673410667331272,0.002481628922836827,0.02208315317903585,0.01425681778447545,Régression logistique
0.22684351380264534,0.4775427941380921,0.5765869953083333,0.6630987336250495,0.9734129319366169,0.13722860676276197,0.7701394471083972,0.0037018690558462053,0.026899797828109175,0.014146699728789153,Régression logistique
0.228455003240261,0.4801570522352943,0.579173114515249,0.6654072882627694,0.9736427319477462,0.13823476606573448,0.7724757716957277,0.005522112665807593,0.03294225160588217,0.014023138014651135,Régression logistique
0.2294036853266355,0.482109800527749,0.5811176621967048,0.6670184969445518,0.9737925675078148,0.13873149568186785,0.7737570691441501,0.008237387069571018,0.046532309744968886,0.014388902128235367,Régression logistique
0.23001690447100412,0.4833466604996468,0.5823208350064603,0.6679762083270856,0.97388676474375,0.13905031667194692,0.7748842671761055,0.012287787272810434,0.04725409142764998,0.013333073368778935,Régression logistique
0.230535583294297,0.4842844483149429,0.5832631655297698,0.6688109161793371,0.9739655410416083,0.13935454241773632,0.775611542141573,0.018329807108324353,0.0787236734672829,0.014602612566064906,Régression logistique
0.23091370643035647,0.4847773698426318,0.5836503269118775,0.6690160716476506,0.9739985757350659,0.13960039108693492,0.7761084340730751,0.027342744561652338,0.09014925691816542,0.012522644466824003,Régression logistique
0.2312433313405693,0.48532959171557577,0.5841661295646295,0.6694147957305852,0.9740419105857073,0.13979693287538647,0.7764460928631038,0.040787427589690214,0.12197446823120117,0.012860188881556192,Régression logistique
0.23122082974167996,0.48540392380083036,0.584260193063389,0.6695022083179978,0.9740483652372437,0.13975844867501724,0.7766588893740168,0.06084298690766427,0.1653999537229538,0.014647126197814941,Régression logistique
0.2311838203570825,0.4854312519727688,0.5843186137774597,0.6695820925485998,0.9740523591730624,0.13972012143027632,0.7767729556474364,0.09076005216818141,0.2381108674136075,0.01264312050559304,Régression logistique
0.23135735538960095,0.4856845375495453,0.5845812349718619,0.669845943530154,0.9740763938109723,0.13983877089305943,0.7768898943419238,0.13538761800225443,0.4309278556278774,0.018096583230154856,Régression logistique
0.23104547391398428,0.48531411703754523,0.5842398879170615,0.6695436142804564,0.9740436155138923,0.13961449356278907,0.7769786646175294,0.20195897501643797,0.6363416910171509,0.012125670909881592,Régression logistique
0.2311266301129731,0.4855960104978679,0.5846254963787311,0.6700282173966384,0.9740768575930238,0.13965070737128144,0.7770528084007111,0.30126409040604457,0.9026616414388021,0.022330840428670246,Régression logistique
0.2310678903197344,0.4855313663425964,0.5845774269483301,0.6700036805299963,0.9740723565391043,0.1396096221901264,0.7770591561092475,0.4493984590721666,1.835415244102478,0.028223872184753418,Régression logistique
0.23117057875160268,0.48572175425306613,0.5847885319888442,0.6702245123297755,0.97409131654281,0.13967294594097074,0.7770898314000941,0.6703718811765348,3.6249234676361084,0.019397974014282227,Régression logistique
0.23117057875160268,0.48572175425306613,0.5847885319888442,0.6702245123297755,0.97409131654281,0.13967294594097074,0.7770898314000941,1.0,3.685581922531128,0.019337892532348633,Régression logistique
0.2011376255638265,0.16790281556913325,0.16405747000925383,0.16177997441155334,0.9505750625234394,0.29101881859208,0.7483482486517343,0.0005011872336272724,1.001060223997685,0.7342159375212246,Random Forest
0.21982547497437185,0.19040456460136843,0.18693802217928174,0.1848808122161663,0.9517038699249029,0.29222174964634834,0.7572497171235052,0.000747625680163769,1.0318876125960539,0.7606401168863187,Random Forest
0.23770264907870906,0.2158990195028719,0.2132789822986982,0.21172306312108943,0.9529908776969082,0.28520560877586204,0.7644692369114,0.0011152402139117906,1.0945625007152557,0.7244576902261802,Random Forest
0.25421060468468315,0.24541923418184058,0.24452388673236086,0.24402354804316448,0.9545224423623621,0.27446665570086864,0.7711181377977563,0.0016636142493842226,1.1130570679060037,0.7374258196096055,Random Forest
0.27024410441264857,0.2813625202439458,0.2835433110961165,0.28498160650556564,0.956479688043526,0.2622250101291729,0.7763682524101737,0.002481628922836827,1.1076943637126715,0.7107318046674207,Random Forest
0.28268961135278087,0.3204860589444317,0.3276378702020157,0.33234258918469445,0.9587428466826059,0.24928918486788693,0.7819086912973255,0.0037018690558462053,1.1147103424425477,0.6998949624873974,Random Forest
0.29269348890818137,0.3625674944109632,0.3767295042566033,0.3862226171618437,0.9613779483486788,0.23717065740800253,0.7880295800565931,0.005522112665807593,1.0892030507820087,0.6999552091840882,Random Forest
0.2977709916498442,0.40253603324637705,0.42579269146714843,0.4417919618441584,0.9641290698083532,0.22519868223656755,0.7934700273620345,0.008237387069571018,1.0686836144155707,0.696046468640162,Random Forest
